"","model_name","pres.aic.tt","delta_aic","tss.tt"
"1","Null",10612.6755984206,-993.372677299189,0.113238941239852
"2","S",10324.9387151835,-705.635794062089,0.117082702303852
"3","SBT",9859.65370709134,-240.350785969929,0.128859270917733
"4","O",9643.01875878189,-23.7158376604784,0.131100471281757
"5","Z",10448.8120140068,-829.50909288539,0.10858353821159
"6","MI",9619.30292112141,0,0.132364048058465
